id,compound_id,delta_ppm,carbon_type,assignment,solvent,instrument_mhz,note
1,1,28.4,CH2,C-1,CDCl3,125,
2,1,36.4,CH2,C-2,CDCl3,125,
3,1,29.0,CH,C-3,CDCl3,125,
4,1,52.1,CH,C-4,CDCl3,125,
5,1,20.2,CH2,C-5,CDCl3,125,
6,1,36.5,CH2,C-6,CDCl3,125,
7,1,61.5,C,C-7,CDCl3,125,
8,1,37.8,CH,C-8,CDCl3,125,
9,1,19.9,CH2,C-9,CDCl3,125,
10,1,27.9,CH2,C-10,CDCl3,125,
11,1,135.7,C,C-11,CDCl3,125,
12,1,129.6,CH,C-12,CDCl3,125,
13,1,44.0,C,C-13,CDCl3,125,
14,1,55.4,CH,C-14,CDCl3,125,
15,1,149.7,C,C-15,CDCl3,125,
16,1,24.9,CH3,C-17,CDCl3,125,
17,1,20.1,CH3,C-18,CDCl3,125,
18,1,31.9,CH3,C-19,CDCl3,125,
19,1,23.9,CH3,C-20,CDCl3,125,
20,1,119.3,C,C-21,CDCl3,125,
21,1,114.5,CH2,C-16,CDCl3,125,
22,2,28.3,CH2,C-1,CDCl3,125.0,
23,2,36.3,CH2,C-2,CDCl3,125.0,
24,2,29.0,CH,C-3,CDCl3,125.0,
25,2,51.9,CH,C-4,CDCl3,125.0,
26,2,20.3,CH2,C-5,CDCl3,125.0,
27,2,35.6,CH2,C-6,CDCl3,125.0,
28,2,64.5,C,C-7,CDCl3,125.0,
29,2,37.7,CH,C-8,CDCl3,125.0,
30,2,19.7,CH2,C-9,CDCl3,125.0,
31,2,27.1,CH2,C-10,CDCl3,125.0,
32,2,136.1,C,C-11,CDCl3,125.0,
33,2,129.1,CH,C-12,CDCl3,125.0,
34,2,43.8,C,C-13,CDCl3,125.0,
35,2,55.4,CH,C-14,CDCl3,125.0,
36,2,149.6,C,C-15,CDCl3,125.0,
37,2,114.7,CH2,C-16,CDCl3,125.0,
38,2,25.0,CH3,C-17,CDCl3,125.0,
39,2,20.0,CH3,C-18,CDCl3,125.0,
40,2,30.8,CH3,C-19,CDCl3,125.0,
41,2,24.3,CH3,C-20,CDCl3,125.0,
42,4,121.6,C,C-2,CDCl3,125.0,
43,4,149.6,CH,C-3,CDCl3,125.0,
44,4,32.7,CH,C-4,CDCl3,125.0,
45,4,39.4,CH,C-5,CDCl3,125.0,
46,4,44.9,CH,C-6,CDCl3,125.0,
47,4,214.7,C,C-7,CDCl3,125.0,
48,4,47.7,CH2,C-8,CDCl3,125.0,
49,4,66.5,CH2,C-9,CDCl3,125.0,
50,4,36.0,CH2,C-10,CDCl3,125.0,
51,4,36.9,CH2,C-11,CDCl3,125.0,
52,4,173.3,C,C-12,CDCl3,125.0,
53,4,37.1,CH2,C-13,CDCl3,125.0,
54,4,28.9,CH2,C-14,CDCl3,125.0,
55,4,123.0,CH,C-15,CDCl3,125.0,
56,4,143.1,CH,C-16,CDCl3,125.0,
57,4,33.0,C,C-17,CDCl3,125.0,
59,4,29.9,CH3,C-18,CDCl3,125.0,
60,4,29.9,CH3,C-19,CDCl3,125.0,
61,4,29.9,CH3,C-20,CDCl3,125.0,
62,4,17.6,CH3,C-21,CDCl3,125.0,
63,4,20.8,CH3,C-22,CDCl3,125.0,
64,4,53.1,CH3,C-23,CDCl3,125.0,
