id,compound_id,spectrum_type,file_path,note
1,1,1H,data/spectra/RU207-C1_1H.png,
2,1,13C,data/spectra/RU207-C1_13C.png,
3,1,COSY,data/spectra/RU207-C1_COSY.png,
4,1,HMBC,data/spectra/RU207-C1_HMBC.png,
5,1,HSQC,data/spectra/RU207-C1_HSQC.png,
6,1,NOESY,data/spectra/RU207-C1_NOESY.png,
9,2,13C,data/spectra/RU207-C2_13C.png,
10,2,1H,data/spectra/RU207-C2_1H.png,
11,2,HSQC,data/spectra/RU207-C2_HSQC.png,
12,2,HMBC,data/spectra/RU207-C2_HMBC.png,
13,2,COSY,data/spectra/RU207-C2_COSY.png,
14,2,NOESY,data/spectra/RU207-C2_NOESY.png,
15,4,1H,data/spectra/Luquilloamide A_1H.png,
16,4,13C,data/spectra/Luquilloamide A_13C.png,
